,Year,Age,Female,Male,Total,X.30,X.31,X.37,X.38
185,1752,56,NA,NA,6195.73,NA,NA,NA,NA
186,1752,57,NA,NA,6520.92,NA,NA,NA,NA
187,1752,58,NA,NA,6984.31,NA,NA,NA,NA
188,1752,59,NA,NA,7692.04,NA,NA,NA,NA
189,1752,60,NA,NA,8523.37,NA,NA,NA,NA
190,1752,61,NA,NA,8302.14,NA,NA,NA,NA
191,1752,62,NA,NA,8047.59,NA,NA,NA,NA
192,1752,63,NA,NA,7482.65,NA,NA,NA,NA
193,1752,64,NA,NA,6792.75,NA,NA,NA,NA
194,1752,65,NA,NA,6009.66,NA,NA,NA,NA
195,1752,66,NA,NA,5775.54,NA,NA,NA,NA
196,1752,67,NA,NA,5603.77,NA,NA,NA,NA
197,1752,68,NA,NA,5494.54,NA,NA,NA,NA
198,1752,69,NA,NA,5377,NA,NA,NA,NA
199,1752,70,NA,NA,5278.45,NA,NA,NA,NA
200,1752,71,NA,NA,4579.98,NA,NA,NA,NA
201,1752,72,NA,NA,3905.85,NA,NA,NA,NA
202,1752,73,NA,NA,3254.53,NA,NA,NA,NA
203,1752,74,NA,NA,2636.19,NA,NA,NA,NA
204,1752,75,NA,NA,2078.39,NA,NA,NA,NA
205,1752,76,NA,NA,1931.25,NA,NA,NA,NA
206,1752,77,NA,NA,1816.81,NA,NA,NA,NA
207,1752,78,NA,NA,1755.66,NA,NA,NA,NA
208,1752,79,NA,NA,1733.38,NA,NA,NA,NA
209,1752,80,NA,NA,1644.26,NA,NA,NA,NA
210,1752,81,NA,NA,1432.4,NA,NA,NA,NA
211,1752,82,NA,NA,1226.28,NA,NA,NA,NA
212,1752,83,NA,NA,1031.06,NA,NA,NA,NA
213,1752,84,NA,NA,NA,NA,NA,NA,NA
214,1752,85,NA,NA,NA,NA,NA,NA,NA
215,1752,86,NA,NA,NA,NA,NA,NA,NA
216,1752,87,NA,NA,NA,NA,NA,NA,NA
217,1752,88,NA,NA,NA,NA,NA,NA,NA
218,1752,89,NA,NA,NA,NA,NA,NA,NA
219,1752,90,NA,NA,NA,NA,NA,NA,NA
220,1752,91,NA,NA,NA,NA,NA,NA,NA
221,1752,92,NA,NA,NA,NA,NA,NA,NA
222,1752,93,NA,NA,NA,NA,NA,NA,NA
223,1752,94,NA,NA,NA,NA,NA,NA,NA
224,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,1752,95,NA,NA,NA,NA,NA,NA,NA
226,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,1752,96,NA,NA,NA,NA,NA,NA,NA
228,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,1752,97,NA,NA,NA,NA,NA,NA,NA
230,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,1752,98,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,1752,99,NA,NA,NA,NA,NA,NA,NA
234,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,1752,NA,NA,NA,NA,NA,NA,NA,NA
236,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,1752,NA,NA,NA,NA,NA,NA,NA,NA
238,11.7,NA,NA,NA,NA,NA,NA,NA,NA
239,1752,NA,NA,NA,NA,NA,NA,NA,NA
240,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,1752,NA,NA,NA,NA,NA,NA,NA,NA
242,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,1752,NA,NA,NA,NA,NA,NA,NA,NA
244,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,1752,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,1752,NA,NA,NA,NA,NA,NA,NA,NA
248,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,1752,NA,NA,NA,NA,NA,NA,NA,NA
250,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,1752,NA,NA,NA,NA,NA,NA,NA,NA
252,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,1752,NA,NA,NA,NA,NA,NA,NA,NA
254,NA,NA,NA,NA,NA,NA,NA,NA,NA
